index,Location,RainTomorrow
53869,Mildura,0
20899,Sydney,1
68933,Cairns,1
12972,NorahHead,0
5856,Cobar,0
2019,Albury,0
105120,AliceSprings,0
63286,Dartmoor,0
97794,Perth,0
1072,Albury,0
33639,Canberra,0
38156,Tuggeranong,0
109329,Darwin,0
56367,Portland,1
83057,Nuriootpa,0
71565,GoldCoast,0
11764,Moree,0
91812,PearceRAAF,0
39402,Ballarat,0
27008,WaggaWagga,0
23647,SydneyAirport,1
5823,Cobar,0
55156,Nhil,0
103940,Launceston,0
39199,Ballarat,0
90117,PearceRAAF,1
30711,Wollongong,0
40711,Ballarat,0
93364,PerthAirport,0
59828,Watsonia,0
89462,PearceRAAF,0
33463,Canberra,0
70109,GoldCoast,0
103606,Launceston,1
45901,Sale,0
30965,Wollongong,0
102612,Hobart,0
87761,Witchcliffe,0
34382,Canberra,1
10080,CoffsHarbour,0
109687,Darwin,0
87306,Witchcliffe,0
69820,Cairns,0
47544,MelbourneAirport,1
63769,Dartmoor,0
94037,PerthAirport,0
111322,Katherine,0
78083,Adelaide,0
12711,Moree,0
60330,Watsonia,1
5050,Cobar,0
8448,CoffsHarbour,1
86770,Woomera,0
68651,Cairns,1
45568,Sale,0
73404,Townsville,0
23595,SydneyAirport,0
26702,WaggaWagga,0
99520,Walpole,0
74106,Townsville,0
86703,Woomera,1
62386,Dartmoor,1
89868,PearceRAAF,0
104358,Launceston,0
111659,Uluru,0
16255,NorfolkIsland,1
10998,Moree,0
60863,Watsonia,0
88351,Witchcliffe,0
10879,Moree,0
38456,Ballarat,0
50323,Melbourne,0
30828,Wollongong,0
101784,Hobart,1
56313,Portland,0
93011,PerthAirport,1
97450,Perth,0
47720,MelbourneAirport,0
25002,SydneyAirport,0
33203,Wollongong,1
67834,Cairns,1
63372,Dartmoor,1
1306,Albury,0
14624,NorahHead,0
91802,PearceRAAF,0
85570,Woomera,0
44379,Sale,1
30069,Williamtown,0
73848,Townsville,0
31546,Wollongong,0
44900,Sale,0
85124,Woomera,0
13289,NorahHead,0
87010,Woomera,0
88656,Witchcliffe,0
85159,Woomera,0
69339,Cairns,0
71392,GoldCoast,0
59607,Watsonia,0
4465,BadgerysCreek,0
93509,PerthAirport,0
45240,Sale,0
84819,Woomera,0
31491,Wollongong,0
104002,Launceston,0
102585,Hobart,0
38358,Tuggeranong,0
13317,NorahHead,1
98319,Walpole,1
73269,Townsville,0
3994,BadgerysCreek,1
39862,Ballarat,0
59733,Watsonia,1
77078,Adelaide,0
6815,Cobar,0
45857,Sale,1
7897,CoffsHarbour,1
108355,Darwin,0
46742,MelbourneAirport,0
93151,PerthAirport,0
2203,Albury,0
11713,Moree,0
80591,MountGambier,0
11631,Moree,0
11072,Moree,0
55306,Nhil,0
33643,Canberra,0
56617,Portland,1
89553,PearceRAAF,1
37973,Tuggeranong,1
37554,Tuggeranong,0
33844,Canberra,0
80965,MountGambier,0
20234,Richmond,0
28996,Williamtown,0
40705,Ballarat,0
4721,BadgerysCreek,0
15291,NorahHead,0
23338,SydneyAirport,1
53084,Mildura,0
33773,Canberra,0
61801,Watsonia,0
41164,Ballarat,0
63110,Dartmoor,0
33745,Canberra,0
11528,Moree,0
7695,CoffsHarbour,1
78763,MountGambier,0
4883,Cobar,0
85626,Woomera,0
3430,BadgerysCreek,0
107182,AliceSprings,0
88783,Witchcliffe,1
68048,Cairns,0
5858,Cobar,0
112481,Uluru,0
7798,CoffsHarbour,0
106911,AliceSprings,0
89810,PearceRAAF,0
101172,Hobart,1
90461,PearceRAAF,0
108763,Darwin,0
98832,Walpole,0
103216,Hobart,0
74728,Townsville,0
53717,Mildura,0
54489,Mildura,0
30867,Wollongong,0
69384,Cairns,0
88663,Witchcliffe,0
56338,Portland,0
32459,Wollongong,0
86356,Woomera,0
16314,NorfolkIsland,1
26613,WaggaWagga,0
17944,NorfolkIsland,1
75831,Adelaide,0
43439,Bendigo,0
112732,Uluru,0
99986,Walpole,1
37495,Tuggeranong,0
101202,Hobart,0
53034,Mildura,0
9948,CoffsHarbour,1
2125,Albury,0
34439,Canberra,0
20367,Richmond,1
37497,Tuggeranong,0
63543,Dartmoor,1
24505,SydneyAirport,0
30597,Williamtown,1
90398,PearceRAAF,0
92299,PerthAirport,0
39183,Ballarat,0
11925,Moree,0
17779,NorfolkIsland,1
12879,NorahHead,0
30589,Williamtown,0
103376,Hobart,1
58467,Portland,1
100609,Hobart,1
66500,Brisbane,0
59403,Watsonia,0
17172,NorfolkIsland,1
568,Albury,1
23838,SydneyAirport,0
106284,AliceSprings,0
102301,Hobart,0
92521,PerthAirport,0
101242,Hobart,0
19273,Richmond,0
74089,Townsville,0
109713,Darwin,0
13659,NorahHead,0
56894,Portland,0
85653,Woomera,0
53173,Mildura,0
64327,Brisbane,0
53319,Mildura,0
37077,Tuggeranong,0
110772,Darwin,0
70230,GoldCoast,1
5594,Cobar,0
13328,NorahHead,0
109203,Darwin,0
45134,Sale,1
64698,Brisbane,0
34928,Canberra,0
60356,Watsonia,0
86605,Woomera,0
3002,BadgerysCreek,0
25429,SydneyAirport,0
36872,Tuggeranong,0
950,Albury,0
75062,Townsville,0
12125,Moree,0
54209,Mildura,0
81582,Nuriootpa,1
23597,SydneyAirport,0
26150,WaggaWagga,0
80339,MountGambier,1
18022,NorfolkIsland,0
104611,Launceston,0
81379,MountGambier,0
2831,BadgerysCreek,1
104712,Launceston,1
80253,MountGambier,0
74237,Townsville,0
98172,Walpole,0
97486,Perth,0
31381,Wollongong,0
30213,Williamtown,0
20014,Richmond,0
67859,Cairns,0
4815,Cobar,0
46050,Sale,0
4019,BadgerysCreek,0
26173,WaggaWagga,1
1570,Albury,0
90711,PearceRAAF,0
64602,Brisbane,0
60735,Watsonia,0
111943,Uluru,0
55918,Nhil,0
39082,Ballarat,0
64358,Brisbane,1
7815,CoffsHarbour,0
107309,AliceSprings,0
7984,CoffsHarbour,0
82934,Nuriootpa,0
31617,Wollongong,1
70784,GoldCoast,1
105387,AliceSprings,0
33766,Canberra,0
30547,Williamtown,0
39928,Ballarat,1
12181,Moree,0
79926,MountGambier,0
5849,Cobar,0
88735,Witchcliffe,0
106640,AliceSprings,0
49406,MelbourneAirport,1
3560,BadgerysCreek,1
64919,Brisbane,0
58141,Portland,1
106160,AliceSprings,0
80954,MountGambier,0
10134,Moree,0
80809,MountGambier,0
17919,NorfolkIsland,1
3448,BadgerysCreek,0
79665,MountGambier,0
27847,WaggaWagga,0
16853,NorfolkIsland,1
45792,Sale,0
95372,Perth,0
48072,MelbourneAirport,0
69109,Cairns,0
96750,Perth,0
49165,MelbourneAirport,0
70329,GoldCoast,0
42771,Bendigo,0
10861,Moree,0
79735,MountGambier,0
99711,Walpole,1
99753,Walpole,1
110750,Darwin,1
35323,Canberra,1
85924,Woomera,0
90960,PearceRAAF,0
46083,Sale,0
41305,Bendigo,0
30155,Williamtown,0
8103,CoffsHarbour,0
112557,Uluru,0
94977,Perth,0
55772,Nhil,0
105840,AliceSprings,0
64612,Brisbane,1
49744,Melbourne,0
3480,BadgerysCreek,1
107328,AliceSprings,0
52647,Mildura,0
22778,SydneyAirport,0
46420,Sale,0
62539,Dartmoor,0
43739,Bendigo,1
65308,Brisbane,0
64917,Brisbane,0
52191,Mildura,0
75881,Adelaide,0
52505,Mildura,0
102928,Hobart,0
26940,WaggaWagga,0
78076,Adelaide,0
91340,PearceRAAF,0
9192,CoffsHarbour,0
111583,Uluru,0
106892,AliceSprings,1
2636,BadgerysCreek,0
48933,MelbourneAirport,0
95759,Perth,0
27456,WaggaWagga,0
33504,Canberra,0
10839,Moree,0
13095,NorahHead,0
109963,Darwin,0
7345,Cobar,1
11627,Moree,0
97692,Perth,0
109001,Darwin,0
90213,PearceRAAF,0
10035,CoffsHarbour,1
69120,Cairns,0
74027,Townsville,0
37778,Tuggeranong,0
1869,Albury,0
53317,Mildura,0
103514,Launceston,0
75070,Townsville,0
79782,MountGambier,1
93359,PerthAirport,0
96367,Perth,0
76182,Adelaide,0
67688,Cairns,0
78903,MountGambier,0
91139,PearceRAAF,0
95349,Perth,0
13177,NorahHead,1
85290,Woomera,0
96772,Perth,1
60386,Watsonia,0
30944,Wollongong,0
1917,Albury,0
97091,Perth,1
98379,Walpole,1
19634,Richmond,1
5493,Cobar,0
103321,Hobart,1
55756,Nhil,0
13548,NorahHead,1
42379,Bendigo,0
20459,Sydney,0
83781,Nuriootpa,0
87749,Witchcliffe,1
3486,BadgerysCreek,0
49021,MelbourneAirport,0
95568,Perth,0
90246,PearceRAAF,0
77183,Adelaide,0
3411,BadgerysCreek,0
101598,Hobart,0
57688,Portland,0
72017,GoldCoast,0
105795,AliceSprings,0
32050,Wollongong,1
95744,Perth,0
91634,PearceRAAF,1
48251,MelbourneAirport,0
77359,Adelaide,0
52409,Mildura,0
112453,Uluru,0
3743,BadgerysCreek,0
82364,Nuriootpa,0
80410,MountGambier,1
63940,Dartmoor,1
79753,MountGambier,1
8196,CoffsHarbour,0
78983,MountGambier,1
68032,Cairns,0
6146,Cobar,0
47501,MelbourneAirport,0
45009,Sale,0
53218,Mildura,1
11679,Moree,0
12753,NorahHead,0
50889,Melbourne,0
17430,NorfolkIsland,0
22781,SydneyAirport,0
70635,GoldCoast,0
52224,Mildura,0
82794,Nuriootpa,0
13958,NorahHead,0
102904,Hobart,0
70956,GoldCoast,0
42769,Bendigo,0
3692,BadgerysCreek,0
103570,Launceston,0
109775,Darwin,0
74624,Townsville,1
8668,CoffsHarbour,0
10850,Moree,0
23426,SydneyAirport,0
3795,BadgerysCreek,0
99412,Walpole,1
85197,Woomera,0
46003,Sale,0
53600,Mildura,0
62248,Dartmoor,0
55055,Nhil,0
21910,Sydney,0
39733,Ballarat,0
25696,WaggaWagga,0
98301,Walpole,1
14121,NorahHead,0
95004,Perth,0
1348,Albury,0
37658,Tuggeranong,0
6225,Cobar,0
19311,Richmond,0
69464,Cairns,0
71050,GoldCoast,0
19369,Richmond,0
105098,AliceSprings,0
64888,Brisbane,0
98233,Walpole,1
55021,Nhil,0
104928,Launceston,0
41386,Bendigo,0
102226,Hobart,1
69983,Cairns,1
76565,Adelaide,0
68354,Cairns,0
85359,Woomera,0
83107,Nuriootpa,0
11291,Moree,1
105316,AliceSprings,0
17490,NorfolkIsland,0
76792,Adelaide,0
52902,Mildura,0
89627,PearceRAAF,0
56767,Portland,1
57900,Portland,1
16340,NorfolkIsland,0
101056,Hobart,0
72306,GoldCoast,0
45388,Sale,0
83912,Nuriootpa,1
97101,Perth,0
110036,Darwin,0
79104,MountGambier,0
91991,PerthAirport,0
53440,Mildura,0
79522,MountGambier,0
68939,Cairns,0
73507,Townsville,0
96600,Perth,0
69627,Cairns,0
31408,Wollongong,0
75646,Townsville,0
80638,MountGambier,0
56890,Portland,0
101769,Hobart,0
20814,Sydney,0
111435,Katherine,0
7024,Cobar,0
71702,GoldCoast,0
15727,NorfolkIsland,0
87261,Witchcliffe,1
9132,CoffsHarbour,0
81253,MountGambier,0
17704,NorfolkIsland,0
95807,Perth,1
92097,PerthAirport,0
32564,Wollongong,0
81179,MountGambier,0
110938,Katherine,0
45006,Sale,0
56598,Portland,0
44610,Sale,1
5360,Cobar,0
2948,BadgerysCreek,1
81449,Nuriootpa,0
89966,PearceRAAF,0
62775,Dartmoor,1
83764,Nuriootpa,0
110979,Katherine,1
49992,Melbourne,0
71631,GoldCoast,1
16601,NorfolkIsland,1
81134,MountGambier,0
15401,NorahHead,0
25500,SydneyAirport,1
109677,Darwin,0
36342,Tuggeranong,0
6836,Cobar,0
94336,PerthAirport,0
27174,WaggaWagga,0
110365,Darwin,1
69740,Cairns,0
89569,PearceRAAF,1
82309,Nuriootpa,0
52165,Mildura,1
54003,Mildura,0
36930,Tuggeranong,1
21540,Sydney,0
37924,Tuggeranong,0
68538,Cairns,0
95160,Perth,1
24660,SydneyAirport,0
4555,BadgerysCreek,0
89777,PearceRAAF,0
106477,AliceSprings,0
52261,Mildura,0
16278,NorfolkIsland,0
90590,PearceRAAF,0
34161,Canberra,1
85574,Woomera,0
24809,SydneyAirport,1
67,Albury,0
15491,NorahHead,0
8986,CoffsHarbour,1
64789,Brisbane,0
58060,Portland,1
47372,MelbourneAirport,0
35198,Canberra,0
40143,Ballarat,0
2817,BadgerysCreek,0
62047,Dartmoor,0
91684,PearceRAAF,0
63349,Dartmoor,0
104821,Launceston,0
14844,NorahHead,0
70417,GoldCoast,0
83491,Nuriootpa,0
48929,MelbourneAirport,0
57943,Portland,0
66924,Brisbane,0
43011,Bendigo,0
14007,NorahHead,0
15468,NorahHead,0
28975,Williamtown,0
14609,NorahHead,0
92731,PerthAirport,1
82645,Nuriootpa,0
100440,Hobart,1
23582,SydneyAirport,0
67690,Cairns,0
44356,Sale,0
84159,Nuriootpa,0
40380,Ballarat,0
61786,Watsonia,0
102068,Hobart,0
3268,BadgerysCreek,0
12588,Moree,0
37799,Tuggeranong,0
76308,Adelaide,0
9326,CoffsHarbour,1
20440,Sydney,1
25979,WaggaWagga,0
46195,Sale,1
24143,SydneyAirport,0
67040,Brisbane,1
31042,Wollongong,0
93872,PerthAirport,0
68120,Cairns,1
14358,NorahHead,1
18674,Richmond,0
70089,GoldCoast,0
93246,PerthAirport,0
34932,Canberra,1
42138,Bendigo,0
36531,Tuggeranong,0
10109,Moree,0
5945,Cobar,0
16912,NorfolkIsland,0
14633,NorahHead,0
75092,Townsville,0
34032,Canberra,0
94202,PerthAirport,0
83251,Nuriootpa,0
42775,Bendigo,0
37046,Tuggeranong,0
59246,Watsonia,0
24904,SydneyAirport,1
17609,NorfolkIsland,0
28244,WaggaWagga,0
61996,Dartmoor,0
49292,MelbourneAirport,0
99608,Walpole,0
80699,MountGambier,0
43628,Bendigo,0
107171,AliceSprings,0
3398,BadgerysCreek,0
51991,Mildura,0
99216,Walpole,0
38784,Ballarat,0
71875,GoldCoast,1
58694,Portland,1
38381,Tuggeranong,0
21510,Sydney,0
6270,Cobar,0
46151,Sale,0
65536,Brisbane,0
26268,WaggaWagga,0
34319,Canberra,0
65264,Brisbane,0
79622,MountGambier,0
23509,SydneyAirport,0
25331,SydneyAirport,0
20492,Sydney,0
33535,Canberra,0
64407,Brisbane,1
103629,Launceston,1
77357,Adelaide,0
72431,GoldCoast,1
25802,WaggaWagga,0
22884,SydneyAirport,0
107061,AliceSprings,0
94691,PerthAirport,1
95224,Perth,0
77522,Adelaide,0
15773,NorfolkIsland,0
67898,Cairns,1
43386,Bendigo,0
93156,PerthAirport,0
102383,Hobart,0
61716,Watsonia,0
12905,NorahHead,0
32023,Wollongong,1
21916,Sydney,0
26870,WaggaWagga,0
85196,Woomera,0
61621,Watsonia,0
71291,GoldCoast,0
87382,Witchcliffe,0
110100,Darwin,0
79600,MountGambier,1
38730,Ballarat,0
91613,PearceRAAF,0
55493,Nhil,0
18689,Richmond,0
112897,Uluru,0
82540,Nuriootpa,1
17834,NorfolkIsland,1
33976,Canberra,0
35413,Canberra,1
76195,Adelaide,0
52253,Mildura,0
95857,Perth,0
83734,Nuriootpa,0
53464,Mildura,1
26008,WaggaWagga,1
1186,Albury,0
36762,Tuggeranong,0
38394,Tuggeranong,0
45524,Sale,0
90235,PearceRAAF,0
109242,Darwin,0
101971,Hobart,0
98833,Walpole,0
60500,Watsonia,0
100268,Walpole,0
6284,Cobar,0
8188,CoffsHarbour,0
53700,Mildura,0
46071,Sale,0
69395,Cairns,1
112190,Uluru,0
77648,Adelaide,0
71308,GoldCoast,0
21656,Sydney,1
99514,Walpole,1
41628,Bendigo,0
78501,Adelaide,0
79051,MountGambier,1
35025,Canberra,0
73239,Townsville,0
52686,Mildura,0
93031,PerthAirport,0
9921,CoffsHarbour,1
53546,Mildura,0
106957,AliceSprings,0
13425,NorahHead,0
15708,NorfolkIsland,0
65252,Brisbane,0
30853,Wollongong,1
100923,Hobart,0
88593,Witchcliffe,0
23915,SydneyAirport,0
50258,Melbourne,1
47836,MelbourneAirport,0
26297,WaggaWagga,0
49266,MelbourneAirport,0
56223,Nhil,0
77740,Adelaide,0
88754,Witchcliffe,0
79890,MountGambier,0
1121,Albury,0
106676,AliceSprings,0
3283,BadgerysCreek,1
28139,WaggaWagga,0
45741,Sale,0
100761,Hobart,0
23781,SydneyAirport,0
64840,Brisbane,0
30914,Wollongong,0
25274,SydneyAirport,0
11384,Moree,0
61661,Watsonia,0
69813,Cairns,1
89348,Witchcliffe,0
72215,GoldCoast,0
10565,Moree,0
9555,CoffsHarbour,0
109227,Darwin,0
52332,Mildura,0
43656,Bendigo,1
1001,Albury,1
6036,Cobar,0
27513,WaggaWagga,0
48154,MelbourneAirport,0
73942,Townsville,0
10231,Moree,0
60396,Watsonia,0
2968,BadgerysCreek,0
27852,WaggaWagga,0
65399,Brisbane,0
58729,Portland,1
85714,Woomera,0
46588,Sale,0
101708,Hobart,0
78648,MountGambier,1
14177,NorahHead,0
4103,BadgerysCreek,0
12501,Moree,0
102122,Hobart,1
44176,Sale,0
68072,Cairns,0
29049,Williamtown,0
54456,Mildura,0
92704,PerthAirport,1
6304,Cobar,0
29665,Williamtown,0
41069,Ballarat,0
11501,Moree,0
31568,Wollongong,1
97347,Perth,0
76705,Adelaide,0
28733,Williamtown,0
7799,CoffsHarbour,0
60991,Watsonia,1
32330,Wollongong,0
38407,Tuggeranong,1
111682,Uluru,0
78166,Adelaide,0
40061,Ballarat,0
27164,WaggaWagga,0
9521,CoffsHarbour,1
71604,GoldCoast,1
3069,BadgerysCreek,0
42676,Bendigo,1
108095,Darwin,0
106862,AliceSprings,0
6248,Cobar,0
32616,Wollongong,0
9907,CoffsHarbour,0
14274,NorahHead,0
93889,PerthAirport,0
63562,Dartmoor,0
116,Albury,0
69609,Cairns,0
378,Albury,0
85107,Woomera,0
80941,MountGambier,0
108236,Darwin,1
56567,Portland,0
52754,Mildura,0
59307,Watsonia,0
281,Albury,1
42718,Bendigo,1
17064,NorfolkIsland,0
24509,SydneyAirport,0
2495,BadgerysCreek,0
102690,Hobart,1
81401,MountGambier,0
88452,Witchcliffe,0
58458,Portland,1
11852,Moree,0
111273,Katherine,1
93877,PerthAirport,0
100617,Hobart,0
60248,Watsonia,0
44414,Sale,0
39342,Ballarat,0
81865,Nuriootpa,0
85509,Woomera,0
93057,PerthAirport,0
41319,Bendigo,0
77877,Adelaide,0
92144,PerthAirport,0
112522,Uluru,0
47258,MelbourneAirport,0
8378,CoffsHarbour,0
11095,Moree,0
88693,Witchcliffe,0
62401,Dartmoor,0
19606,Richmond,0
12036,Moree,0
30080,Williamtown,0
6424,Cobar,0
98854,Walpole,0
81701,Nuriootpa,0
26836,WaggaWagga,0
35292,Canberra,0
45983,Sale,1
51626,Melbourne,1
98040,Walpole,1
98356,Walpole,1
15062,NorahHead,0
48615,MelbourneAirport,0
107373,AliceSprings,0
16114,NorfolkIsland,0
111774,Uluru,0
16415,NorfolkIsland,0
58287,Portland,0
77353,Adelaide,0
27135,WaggaWagga,0
87921,Witchcliffe,0
30713,Wollongong,0
104728,Launceston,1
81951,Nuriootpa,0
26799,WaggaWagga,0
97652,Perth,0
43545,Bendigo,0
109442,Darwin,0
175,Albury,1
61910,Dartmoor,1
38197,Tuggeranong,0
103500,Launceston,0
57246,Portland,0
10603,Moree,0
96003,Perth,0
78758,MountGambier,0
27465,WaggaWagga,0
89018,Witchcliffe,1
80903,MountGambier,0
22069,Sydney,0
4100,BadgerysCreek,0
41260,Ballarat,0
21351,Sydney,0
5396,Cobar,0
27245,WaggaWagga,0
63800,Dartmoor,1
31900,Wollongong,0
108145,Darwin,0
15295,NorahHead,0
74449,Townsville,0
81015,MountGambier,0
20886,Sydney,1
95033,Perth,0
24432,SydneyAirport,0
106165,AliceSprings,0
32520,Wollongong,0
10788,Moree,0
57092,Portland,0
11116,Moree,0
34596,Canberra,0
51226,Melbourne,0
1049,Albury,0
65481,Brisbane,0
94873,Perth,0
58263,Portland,1
37390,Tuggeranong,0
30267,Williamtown,0
12318,Moree,1
788,Albury,0
23222,SydneyAirport,0
39620,Ballarat,0
12016,Moree,0
89451,PearceRAAF,0
103540,Launceston,0
15275,NorahHead,1
96849,Perth,1
107130,AliceSprings,0
87442,Witchcliffe,0
52477,Mildura,0
44566,Sale,0
12231,Moree,1
57262,Portland,0
75140,Townsville,0
77616,Adelaide,0
46359,Sale,0
62820,Dartmoor,1
101402,Hobart,0
55623,Nhil,0
34571,Canberra,0
104232,Launceston,1
84843,Woomera,0
78363,Adelaide,0
31989,Wollongong,0
16051,NorfolkIsland,1
60737,Watsonia,0
48908,MelbourneAirport,0
50612,Melbourne,0
71284,GoldCoast,0
70269,GoldCoast,0
72597,GoldCoast,0
79065,MountGambier,1
85898,Woomera,0
76348,Adelaide,0
74122,Townsville,1
64829,Brisbane,1
102004,Hobart,1
109014,Darwin,0
92392,PerthAirport,0
107951,Darwin,0
99456,Walpole,0
104326,Launceston,0
68338,Cairns,0
76787,Adelaide,0
70259,GoldCoast,1
69462,Cairns,1
59884,Watsonia,0
48443,MelbourneAirport,0
10392,Moree,0
76780,Adelaide,0
28383,WaggaWagga,0
76775,Adelaide,1
46780,MelbourneAirport,0
59297,Watsonia,0
21223,Sydney,0
72958,Townsville,1
70889,GoldCoast,0
50430,Melbourne,0
53863,Mildura,0
29547,Williamtown,0
92910,PerthAirport,0
100192,Walpole,0
104616,Launceston,0
94978,Perth,0
17552,NorfolkIsland,1
97837,Walpole,0
63938,Dartmoor,0
46430,Sale,0
48379,MelbourneAirport,0
93354,PerthAirport,0
58499,Portland,1
25187,SydneyAirport,0
41229,Ballarat,0
101768,Hobart,0
103184,Hobart,0
102230,Hobart,0
17643,NorfolkIsland,0
50786,Melbourne,0
111186,Katherine,0
16868,NorfolkIsland,0
95925,Perth,0
102178,Hobart,1
31409,Wollongong,0
83640,Nuriootpa,0
44084,Sale,0
78301,Adelaide,0
18079,NorfolkIsland,0
4823,Cobar,0
104117,Launceston,0
17300,NorfolkIsland,0
38247,Tuggeranong,0
64445,Brisbane,0
1818,Albury,0
94755,PerthAirport,0
53045,Mildura,0
30806,Wollongong,1
101447,Hobart,1
11734,Moree,0
62995,Dartmoor,0
41157,Ballarat,1
108259,Darwin,0
8121,CoffsHarbour,0
90404,PearceRAAF,0
51133,Melbourne,1
52515,Mildura,0
4978,Cobar,0
100558,Hobart,1
56253,Nhil,0
85203,Woomera,0
101446,Hobart,0
99869,Walpole,0
28665,Williamtown,0
661,Albury,0
68988,Cairns,1
27165,WaggaWagga,1
27680,WaggaWagga,0
100197,Walpole,0
82735,Nuriootpa,0
57103,Portland,1
99266,Walpole,0
57588,Portland,0
3780,BadgerysCreek,0
110685,Darwin,0
24996,SydneyAirport,1
10318,Moree,0
82136,Nuriootpa,0
82724,Nuriootpa,0
71588,GoldCoast,0
62337,Dartmoor,0
111076,Katherine,0
60083,Watsonia,0
111387,Katherine,0
3323,BadgerysCreek,0
18456,Richmond,0
54589,Mildura,1
66699,Brisbane,0
16948,NorfolkIsland,1
106419,AliceSprings,0
8559,CoffsHarbour,1
109229,Darwin,1
76528,Adelaide,0
83008,Nuriootpa,0
90983,PearceRAAF,0
1491,Albury,0
99584,Walpole,0
79738,MountGambier,1
84286,Woomera,0
8923,CoffsHarbour,1
46531,Sale,0
80083,MountGambier,0
6755,Cobar,0
74540,Townsville,0
82677,Nuriootpa,0
47641,MelbourneAirport,0
49042,MelbourneAirport,0
3436,BadgerysCreek,0
11414,Moree,0
12245,Moree,1
80011,MountGambier,1
55688,Nhil,0
79720,MountGambier,0
6227,Cobar,0
98264,Walpole,1
13962,NorahHead,0
87555,Witchcliffe,1
79349,MountGambier,0
45554,Sale,1
1542,Albury,1
47152,MelbourneAirport,0
95320,Perth,0
94528,PerthAirport,0
590,Albury,0
67848,Cairns,0
68463,Cairns,0
51528,Melbourne,0
1059,Albury,0
57628,Portland,0
18286,NorfolkIsland,1
34269,Canberra,0
68653,Cairns,0
20602,Sydney,0
23113,SydneyAirport,0
2450,BadgerysCreek,0
87146,Witchcliffe,0
75755,Townsville,0
75712,Townsville,0
10119,Moree,0
